genre_ids,original_language,popularity,release_date,title,vote_average,vote_count
"[35, 10751]",en,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736
"[9648, 27, 28]",en,12.245999999999999,2010-02-26,The Crazies,6.2,1036
"[28, 53, 80, 9648]",sv,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705
"[35, 10749]",en,12.152999999999999,2010-12-21,Little Fockers,5.6,1883
"[28, 12, 35, 80, 53]",en,12.082,2010-10-14,RED,6.6,4162
"[18, 10749, 10752]",en,12.048,2010-02-04,Dear John,6.8,2676
[27],en,12.032,2010-01-22,Legion,5.3,1154
"[12, 14, 16, 878]",ja,12.005,2010-08-13,Tales from Earthsea,6.6,502
"[10749, 35]",en,11.821,2010-01-08,Leap Year,6.7,990
"[35, 10749, 18]",en,11.806,2010-10-02,Life As We Know It,6.8,1748
"[18, 28, 53, 80, 9648]",sv,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881
"[18, 53]",en,11.624,2010-05-20,Fair Game,6.6,384
"[35, 10402, 10770]",en,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878
"[10752, 28, 12, 18, 53]",en,11.519,2010-03-11,Green Zone,6.4,1176
"[28, 12, 16]",en,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277
"[18, 10749]",en,11.453,2010-03-12,Remember Me,7.1,2079
"[12, 18, 53]",en,11.435,2010-11-05,127 Hours,7.0,4469
"[9648, 14, 35, 12]",de,11.372,2010-10-15,Scooby-Doo! Curse of the Lake Monster,5.6,171
"[35, 27]",en,11.302,2010-08-20,Piranha 3D,5.3,1029
"[12, 18, 28, 14]",en,11.26,2010-07-16,Valhalla Rising,6.0,582
"[80, 18, 9648, 53]",en,11.252,2010-01-29,Edge of Darkness,6.3,794
"[14, 12, 28, 9648]",fr,11.220999999999998,2010-04-14,The Extraordinary Adventures of Adèle Blanc-Sec,6.0,671
"[35, 10749]",en,11.187000000000001,2010-02-11,Valentine's Day,5.8,1907
"[10749, 18, 53, 80]",en,11.147,2010-11-19,The Next Three Days,7.0,1469
"[16, 10751, 10770]",en,11.083,2010-11-26,Kung Fu Panda Holiday,6.6,110
"[18, 53, 9648]",en,10.888,2010-09-24,Buried,6.6,1487
"[28, 18, 36]",ja,10.885,1985-09-26,Ran,8.1,600
"[12, 28, 35, 53]",en,10.799000000000001,2010-07-20,Operation: Endgame,4.9,88
"[35, 12, 10751, 14]",en,10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282
"[16, 12, 10751, 14]",en,10.754000000000001,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223
"[28, 35, 10751]",en,10.745999999999999,2010-01-15,The Spy Next Door,5.7,650
"[35, 99, 28]",en,10.715,2010-10-15,Jackass 3D,6.3,655
[18],en,10.71,2008-05-09,The Babysitters,5.3,125
"[28, 53, 80]",fr,10.661,2010-02-05,District 13: Ultimatum,6.1,555
"[53, 27]",es,10.66,2010-07-09,[REC]²,6.5,920
"[12, 16, 10751, 35]",en,10.614,2010-01-25,Open Season 3,5.5,237
"[35, 18, 10749]",en,10.595,2010-11-10,Morning Glory,6.3,717
"[53, 80, 18, 28]",en,10.555,2010-04-30,Harry Brown,6.8,505
"[35, 10751, 28, 14]",en,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273
[18],en,10.395,2010-12-17,The Fighter,7.3,2325
"[18, 10402, 10749]",en,10.332,2004-09-09,9 Songs,4.9,170
"[28, 53, 10749]",en,10.307,2010-12-10,The Tourist,6.1,3133
"[18, 10749]",en,10.302999999999999,2010-03-14,The Cutting Edge: Fire & Ice,6.0,63
[878],en,10.274000000000001,1956-03-15,Forbidden Planet,7.3,388
"[16, 10751, 14]",en,10.252,2010-03-01,Barbie in A Mermaid Tale,6.7,282
"[18, 28, 36]",cn,10.23,2010-10-01,Ip Man,7.7,1906
"[28, 35, 53, 10749]",en,10.221,2010-06-04,Killers,5.8,1314
"[35, 10749]",en,10.208,2010-09-24,You Again,6.2,734
"[27, 9648, 53]",en,10.203,2010-09-17,Devil,5.9,1516
"[28, 12, 80, 9648, 53]",en,10.202,2010-04-23,The Losers,6.2,844
"[18, 53, 80, 9648]",en,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399
