genre_ids,original_language,popularity,release_date,title,vote_average,vote_count
"[53, 28, 80]",en,6.8420000000000005,2012-09-11,6 Bullets,5.9,146
"[10749, 18]",en,6.831,2012-06-08,Bel Ami,5.2,310
"[35, 18, 10749]",en,6.822,2011-09-22,"Peace, Love & Misunderstanding",6.0,94
"[18, 10749]",en,6.817,2012-03-23,The Deep Blue Sea,5.8,132
"[35, 10402]",en,6.787000000000001,2012-01-13,Joyful Noise,6.4,70
"[12, 18, 10749]",en,6.76,2012-02-03,Big Miracle,6.6,250
"[10749, 35]",fr,6.739,2012-06-06,Love Lasts Three Years,5.8,239
"[18, 35]",en,6.728,2012-12-07,Lay the Favorite,5.3,125
"[35, 18]",en,6.724,2012-09-14,10 Years,5.8,299
"[28, 53]",fr,6.718,2012-04-06,The Assault,6.4,98
"[10751, 12]",de,6.712000000000001,2012-06-06,The Famous Five,7.1,19
"[80, 18, 9648, 53]",en,6.684,2012-03-05,Columbus Circle,5.7,133
"[28, 53]",en,6.65,2012-07-20,Interview with a Hitman,5.3,68
"[35, 10749, 27]",en,6.65,2012-11-02,Vamps,5.0,145
"[35, 27, 53, 9648]",en,6.632999999999999,2012-11-30,Silent Night,4.8,121
"[27, 35]",es,6.631,2012-03-16,Juan of the Dead,6.2,118
"[35, 10749]",en,6.625,2012-04-06,Damsels in Distress,5.5,103
"[35, 10749]",fr,6.611000000000001,2012-11-11,Fly Me to the Moon,5.8,345
[35],en,6.584,2012-02-02,Celebrity Sex Tape,3.8,26
"[28, 53]",en,6.564,2012-08-21,One in the Chamber,4.9,57
"[35, 18]",en,6.556,2012-05-11,Girl in Progress,5.5,71
[18],en,6.546,2012-10-26,Chasing Mavericks,7.0,329
"[14, 10751, 10402, 18]",en,6.537999999999999,2012-12-21,Cirque du Soleil: Worlds Away,6.8,82
"[16, 10402, 10749]",en,6.515,2012-02-10,Chico & Rita,6.8,77
[18],en,6.492000000000001,2012-09-27,At Any Price,5.2,125
[18],no,6.485,2012-05-25,"Oslo, August 31st",7.5,129
"[27, 878, 9648, 53]",en,6.482,2012-10-17,Crawlspace,4.6,49
"[18, 10749, 35]",en,6.46,2012-10-18,The Sessions,6.9,296
"[18, 27, 53]",en,6.446000000000001,2012-07-14,Found,6.4,69
"[53, 27]",en,6.442,2012-10-14,Would You Rather,5.8,464
"[28, 27]",en,6.425,2012-10-27,Gallowwalkers,4.1,175
[35],es,6.406000000000001,2012-06-01,Chinese Take-Out,7.3,186
[27],en,6.4,2012-12-20,Come Out and Play,4.9,51
"[53, 18]",da,6.399,2012-08-04,A Hijacking,6.9,145
[27],en,6.398,2012-09-15,The ABCs of Death,4.8,277
[27],en,6.394,2012-10-05,Stitches,5.6,138
"[53, 16, 14]",ja,6.393,2012-10-19,Puella Magi Madoka Magica the Movie Part II: Eternal,8.0,53
"[28, 53]",en,6.39,2012-05-11,Stash House,5.0,32
[18],fr,6.38,2012-04-16,My Way,6.4,150
"[27, 53]",en,6.364,2012-05-18,Lovely Molly,5.1,125
[18],en,6.357,2011-03-09,The Forger,6.0,71
"[35, 10751]",en,6.353,2012-09-18,Beverly Hills Chihuahua 3 - Viva La Fiesta!,5.5,85
"[18, 10749]",en,6.3389999999999995,2012-05-28,Hemingway & Gellhorn,6.3,85
"[53, 27]",en,6.334,2012-01-21,Black Rock,4.9,118
"[18, 35]",en,6.315,2012-06-27,The Angels' Share,7.1,243
[99],en,6.315,2013-03-29,Room 237,6.3,294
[35],fr,6.303,2012-10-23,Ducoboo 2: Crazy Vacation,4.4,149
"[18, 27, 10749]",en,6.301,2012-11-02,Jack & Diane,4.4,39
[18],en,6.289,2012-09-05,For Ellen,5.6,17
[99],en,6.28,2012-07-06,The Queen of Versailles,7.1,116
"[35, 10749]",en,6.266,2012-07-12,Eating Out: The Open Weekend,5.9,34
"[80, 53]",en,6.266,2012-09-05,"Guns, Girls and Gambling",5.2,52
"[16, 12, 35, 10751]",en,6.2620000000000005,2012-12-07,Dino Time,4.7,20
[35],en,6.261,2012-08-24,Sleepwalk with Me,6.7,86
"[10770, 35, 18, 10751]",en,6.251,2012-04-28,A Dog Named Duke,6.3,13
"[35, 18]",en,6.246,2012-05-11,Hick,5.7,246
"[18, 35]",en,6.222,2012-05-25,Take This Waltz,6.5,178
[18],en,6.218999999999999,2012-11-09,Starlet,7.0,75
[18],de,6.2139999999999995,2012-08-08,Little Thirteen,6.2,12
"[10402, 18]",en,6.21,2012-11-02,A Late Quartet,6.9,116
[99],en,6.202000000000001,2012-05-18,Indie Game: The Movie,7.8,259
"[27, 53, 80]",en,6.2010000000000005,2012-10-02,Chained,6.5,190
[99],en,6.169,2012-01-20,We Are Legion: The Story of the Hacktivists,7.0,122
[18],nl,6.151,2012-11-01,The Broken Circle Breakdown,7.8,590
"[18, 878, 9648]",en,6.148,2012-10-12,Atlas Shrugged: Part II,5.4,66
"[28, 12, 53]",en,6.143,2012-11-05,Maximum Conviction,5.0,61
"[35, 16]",fr,6.142,2012-12-14,The Rabbi's Cat,6.8,86
[18],en,6.14,2012-09-28,Won't Back Down,6.3,64
[18],ja,6.138,2012-05-11,I Wish,7.2,68
[99],en,6.132999999999999,2012-02-09,I Am Bruce Lee,7.7,60
"[27, 9648, 14, 35]",en,6.12,2012-08-10,Twixt,5.0,132
"[18, 10749]",fr,6.117999999999999,2012-11-02,Café de Flore,6.9,95
"[35, 18]",fr,6.1160000000000005,2012-08-31,Chicken with Plums,7.2,86
"[35, 10749]",en,6.06,2012-12-14,Save the Date,5.9,67
"[16, 10751]",en,6.0360000000000005,2012-10-09,Monster High: Ghouls Rule,6.2,38
[35],en,6.029,2013-04-12,It's a Disaster,6.3,111
[35],en,6.028,2012-01-31,John Mulaney: New in Town,8.3,75
"[18, 99]",en,6.015,2012-08-22,Samsara,8.2,276
"[18, 28, 36, 10752]",ko,6.001,2012-04-20,My Way,7.6,113
"[10751, 16]",en,5.995,2012-06-05,Time Travel Mater,5.9,42
"[80, 18, 27, 53]",en,5.992000000000001,2012-03-02,Snowtown,6.3,146
"[28, 18, 35]",zh,5.99,2012-10-19,Tai Chi Zero,6.0,61
"[35, 10749, 10770]",en,5.986000000000001,2012-11-25,Love at the Christmas Table,6.0,56
"[53, 28, 18]",sv,5.968,2012-06-06,Hamilton: In the Interest of the Nation,5.9,57
"[80, 53]",en,5.961,2012-10-26,Pusher 2012,5.5,58
[18],en,5.952999999999999,2012-04-10,The Lady,6.9,130
"[16, 35, 14, 12, 10751]",en,5.952999999999999,2012-12-15,Scooby-Doo! Mask of the Blue Falcon,6.6,21
[18],en,5.9479999999999995,2012-03-23,Wild Bill,6.8,92
"[35, 18, 10749]",en,5.945,2012-04-27,The Giant Mechanical Man,6.3,70
"[18, 14]",es,5.935,2012-10-11,Blancanieves,7.3,122
"[35, 27, 53]",en,5.9079999999999995,2012-10-05,Some Guy Who Kills People,6.1,59
[35],en,5.906000000000001,2012-12-01,A Bride for Christmas,5.9,58
"[35, 10749]",en,5.905,2012-04-20,Think Like a Man,6.9,438
[99],en,5.901,2012-11-23,The Central Park Five,7.2,53
"[18, 53]",en,5.882000000000001,2012-09-27,Trade Of Innocents,5.7,16
[18],cn,5.877000000000001,2012-04-13,A Simple Life,7.3,58
"[27, 53]",en,5.847,2012-09-28,The Barrens,5.3,55
[99],en,5.841,2012-12-25,West of Memphis,7.5,73
"[27, 53]",en,5.831,2012-11-09,In Their Skin,5.3,64
[27],en,5.83,2012-04-17,7 Below,3.4,48
"[35, 10749]",en,5.775,2012-12-20,My Awkward Sexual Adventure,5.9,82
"[10751, 35]",fr,5.774,2012-12-25,The Dandelions,6.8,67
[53],ko,5.769,2012-07-27,Deranged,6.8,34
"[27, 35]",en,5.767,2012-11-11,Love Bite,4.7,37
[35],en,5.7620000000000005,2010-06-03,High School,5.8,68
"[18, 35, 10749]",en,5.7589999999999995,2012-09-07,Hello I Must Be Going,5.9,71
"[18, 27]",en,5.757000000000001,2012-10-13,The Battery,6.3,128
[16],en,5.755,2012-03-23,Ben 10: Destroy All Aliens,5.6,16
"[28, 53]",en,5.751,2012-11-29,A Dark Truth,5.5,51
[99],en,5.742999999999999,2012-06-13,Marina Abramović: The Artist Is Present,7.6,70
[18],fr,5.734,2012-06-05,Declaration of War,7.1,111
[18],el,5.733,2012-03-09,Attenberg,5.9,52
[27],en,5.7170000000000005,2012-07-19,Under the Bed,5.0,50
"[80, 18]",en,5.656000000000001,2012-10-09,Hotel Noir,5.8,23
"[28, 12, 14, 10752]",ru,5.635,2012-06-06,White Tiger,5.5,41
[18],en,5.624,2012-01-02,Albatross,6.2,48
[35],en,5.621,2012-04-24,Lola Versus,5.0,82
"[27, 14]",no,5.603,2012-09-09,Thale,5.4,71
"[18, 35]",es,5.602,2012-04-24,As Luck Would Have It,5.9,36
"[18, 35, 10749]",hi,5.587000000000001,2012-04-05,Housefull 2,5.2,45
"[18, 10749]",pt,5.572,2012-12-26,Tabu,7.3,70
[27],en,5.537999999999999,2012-04-20,The Moth Diaries,5.2,64
"[12, 28, 27, 878, 53]",en,5.502999999999999,2012-04-24,Nazis at the Center of the Earth,3.4,46
"[16, 35, 10751]",en,5.499,2012-10-22,Big Top Scooby-Doo!,6.7,35
"[16, 35]",en,5.473,2012-07-12,Maggie Simpson in The Longest Daycare,6.7,133
"[80, 18, 53]",sv,5.473,2012-10-10,The Hypnotist,5.4,79
[878],en,5.461,2012-09-07,Branded,4.6,102
[18],fr,5.437,2012-10-05,Sister,6.8,76
[99],en,5.433,2012-11-09,Chasing Ice,7.6,91
"[18, 35]",en,5.412000000000001,2012-10-05,Someday This Pain Will Be Useful to You,5.6,60
"[10770, 878, 28]",en,5.407,2012-04-27,Mega Cyclone,4.4,17
"[27, 35]",en,5.405,2012-03-28,Girls Gone Dead,3.5,20
"[18, 53]",en,5.385,2012-09-22,Wake in Fright,7.6,101
"[10749, 35, 80, 18]",en,5.335,2012-08-10,Ecstasy,5.0,19
[18],de,5.32,2011-06-21,Romeos,6.8,37
"[18, 14]",fr,5.31,2012-10-17,Holy Motors,7.0,431
[99],en,5.305,2012-07-27,Ai Weiwei: Never Sorry,7.2,49
"[35, 80]",en,5.3020000000000005,2012-03-10,Small Apartments,5.9,75
"[53, 16, 14]",ja,5.301,2012-10-19,Puella Magi Madoka Magica the Movie Part I: Beginnings,7.6,55
"[16, 35, 10751, 12]",th,5.272,2012-10-02,SeaFood,4.8,25
"[878, 16, 28, 10751, 35]",en,5.268,2012-09-26,Lego Star Wars: The Empire Strikes Out,6.6,35
[53],en,5.26,2012-09-19,Tower Block,5.9,81
[27],en,5.249,2012-10-12,Smiley,4.3,193
[18],en,5.215,2012-12-21,Not Fade Away,5.7,38
[99],en,5.2010000000000005,2012-09-20,How to Survive a Plague,7.7,34
"[27, 878, 53]",en,5.19,2012-11-02,The Bay,5.5,341
"[28, 18]",en,5.187,2012-03-09,Bending The Rules,5.4,28
[35],en,5.162999999999999,2011-03-12,Demoted,5.0,23
[18],en,5.156000000000001,2012-08-17,Saints and Soldiers: Airborne Creed,5.6,37
"[80, 18]",nl,5.117,2012-02-17,Bullhead,7.3,165
"[27, 53]",en,5.113,2012-03-09,Playback,3.9,59
[18],en,5.112,2013-09-13,And While We Were Here,6.1,68
"[35, 18, 10749]",en,5.102,2012-02-01,Loosies,5.6,61
"[18, 10751]",en,5.072,2012-05-25,Cowgirls n' Angels,5.4,30
"[35, 10749]",hi,5.064,2012-04-20,Vicky Donor,7.0,71
"[28, 53]",ru,5.058,2012-06-06,The Spy,5.1,14
"[35, 18]",en,5.056,2012-08-17,Why Stop Now?,5.5,54
"[16, 35]",en,5.0360000000000005,2010-11-02,Moon Mater,5.7,18
"[35, 10751]",en,4.984,2012-03-10,Big Time Movie,6.6,44
"[18, 14]",zh,4.953,2012-08-17,Painted Skin: The Resurrection,5.7,33
[35],en,4.946000000000001,2012-03-02,Tim and Eric's Billion Dollar Movie,5.7,61
"[27, 28]",en,4.9430000000000005,2012-04-01,13Hrs,4.5,28
[53],en,4.938,2012-10-16,Rites of Passage,4.8,25
"[18, 53, 80, 9648]",en,4.8919999999999995,2012-05-19,Jesse Stone: Benefit of the Doubt,7.0,27
"[18, 27, 53, 9648]",en,4.864,2012-10-31,Static,5.7,54
"[80, 18]",en,4.836,2012-04-27,Edwin Boyd: Citizen Gangster,5.6,28
[35],da,4.821000000000001,2012-04-20,Klown,6.5,60
"[18, 10749]",fr,4.816,2011-09-03,Goodbye First Love,6.2,59
"[18, 10749]",en,4.815,2012-09-07,Keep the Lights On,6.2,44
"[28, 878, 12, 53]",en,4.811,2012-12-15,40 Days and Nights,3.0,37
[18],he,4.81,2012-12-10,Urban Tale,3.5,2
"[28, 27, 53]",en,4.806,2012-10-27,Rise of the Zombies,3.5,39
"[28, 878, 53, 10752]",en,4.801,2012-05-03,Ghost Recon: Alpha,7.5,50
"[18, 28]",en,4.801,2012-05-11,The Philly Kid,5.1,26
"[18, 28, 53, 80]",de,4.795,2012-10-10,The Guardians,6.0,55
"[28, 12, 18, 878]",en,4.782,2012-11-06,Hirokin: The Last Samurai,4.0,20
[27],en,4.769,2012-12-30,Bloody Homecoming,4.5,16
[35],en,4.766,2012-06-08,Adventures in the Sin Bin,5.3,11
[16],en,4.762,2012-03-02,Fresh Guacamole,7.6,65
"[16, 10751]",en,4.747,2012-11-13,The Legend of Mor'du,5.7,32
"[28, 10752]",en,4.738,2012-04-01,Fortress,5.4,21
[53],en,4.728,2012-12-01,Mine Games,5.5,42
"[16, 10751, 9648]",en,4.707,2012-03-13,Scooby-Doo! Music of the Vampire,6.6,38
[35],cn,4.675,2012-09-28,Vulgaria,6.3,21
[35],en,4.67,2011-08-05,National Lampoon's The Legend of Awesomest Maximus,3.7,37
"[18, 35, 10749]",hi,4.662,2012-02-10,Ek Main Aur Ekk Tu,5.6,41
"[28, 53, 878, 10752]",en,4.659,2012-05-15,American Warships,3.3,34
"[18, 10749]",en,4.656000000000001,2012-04-20,Darling Companion,5.0,46
[18],en,4.605,2012-10-05,Between Us,5.2,15
[28],hi,4.562,2012-06-01,Rowdy Rathore,5.9,40
"[28, 9648]",zh,4.533,2012-08-31,The Bullet Vanishes,6.5,29
"[36, 18]",en,4.519,2012-06-01,For Greater Glory: The True Story of Cristiada,6.6,63
"[28, 53]",en,4.506,2012-07-31,Hijacked,3.6,21
[99],en,4.5,2012-04-20,Chimpanzee,7.2,61
[18],en,4.499,2012-10-19,Nobody Walks,4.9,33
[35],en,4.476,2012-04-22,Freaky Deaky,5.1,28
"[35, 18]",ru,4.466,2012-10-10,Soulless,5.6,40
[35],fr,4.462,2012-11-11,The Stroller Strategy,5.6,64
"[35, 14, 10751]",ru,4.442,2012-04-04,That still Karloson!,3.2,15
"[18, 35, 10749]",en,4.438,2012-12-07,Cheerful Weather for the Wedding,5.8,30
"[35, 18, 9648]",ru,4.436,2012-12-12,Short Stories,6.4,22
"[10770, 28, 878]",en,4.433,2012-06-09,Jersey Shore Shark Attack,4.0,12
[],en,4.4319999999999995,2012-06-01,Baby Dolls Behind Bars,4.9,4
"[18, 10402]",en,4.417,2012-08-17,Sparkle,5.9,53
[27],de,4.409,2012-12-04,12/12/12,2.1,18
"[28, 878]",en,4.387,2012-09-18,Super Cyclone,2.8,19
"[28, 53]",en,4.3839999999999995,2012-08-02,Assassin's Bullet,4.0,34
"[53, 27, 35]",en,4.359,2012-11-03,Redd Inc.,5.6,37
"[18, 10749]",zh,4.352,2012-02-17,Love,6.0,20
"[878, 18, 35]",es,4.343,2012-06-15,Extraterrestrial,5.5,44
"[18, 53]",en,4.337,2012-04-12,Simon Killer,6.1,39
"[35, 10749]",en,4.306,2012-10-13,The Seven Year Hitch,5.7,27
"[80, 18, 36, 99]",en,4.297,2012-01-20,The Invisible War,7.5,67
[99],en,4.293,2012-06-15,Something from Nothing: The Art of Rap,6.7,34
"[18, 10749]",he,4.29,2012-06-06,Yossi,7.0,31
[16],ru,4.277,2012-12-30,Tri Bogatyrya na Dalnikh Beregakh,5.7,23
"[10770, 10751, 14]",en,4.27,2012-11-18,"It's Christmas, Carol!",5.6,15
"[35, 27]",en,4.268,2012-04-27,Detention of the Dead,5.0,50
"[18, 53, 36]",fa,4.2589999999999995,2013-08-13,Rhino Season,5.8,16
"[16, 10751, 12, 35]",fi,4.244,2012-11-02,"Niko 2 - Little Brother, Big Trouble",5.7,27
"[35, 53, 9648]",en,4.236000000000001,2012-01-04,Breathless,5.4,18
"[35, 9648, 53]",en,4.23,2012-12-07,Bad Kids Go To Hell,4.1,55
[18],sv,4.218,2012-10-11,Simon & the Oaks,6.6,27
"[10770, 10751, 14]",en,4.204,2012-10-27,The Good Witch's Charm,6.7,33
"[10770, 80, 9648, 53]",en,4.175,2012-09-29,A Mother's Nightmare,5.6,55
"[27, 53]",en,4.175,2011-10-15,Rosewood Lane,5.0,52
[18],en,4.1610000000000005,2013-09-13,Jayne Mansfield's Car,5.9,29
"[18, 10749]",en,4.158,2012-11-20,Marfa Girl,4.9,22
"[35, 10749]",en,4.145,2012-08-08,Not Suitable For Children,5.4,59
[35],en,4.106,2012-10-12,"3, 2, 1... Frankie Go Boom",5.5,36
"[18, 53, 9648]",sv,4.099,2012-08-08,Nobel's Last Will,5.9,25
[27],en,4.098,2012-04-05,The Devil's Carnival,5.8,45
[35],en,4.093999999999999,2013-05-31,Free Samples,6.1,19
"[35, 18]",en,4.066,2013-06-28,Petunia,5.5,6
[99],en,4.063,2012-10-05,Everything or Nothing,7.2,37
[99],en,4.058,2012-02-03,Linotype: The Film,6.7,8
"[27, 878]",en,4.005,2012-06-23,Arachnoquake,3.8,29
[14],en,4.003,2012-03-13,Grimm's Snow White,6.3,39
"[35, 18]",en,3.9930000000000003,2012-04-21,Whole Lotta Sole,5.4,29
"[10751, 14]",en,3.9819999999999998,2012-11-23,A Fairly Odd Christmas,5.3,33
"[18, 10751]",en,3.9730000000000003,2012-12-09,Christmas with Holly,6.2,52
[18],en,3.972,2012-06-08,Dark Horse,5.5,51
"[10751, 16, 35]",en,3.949,2012-11-23,It's a SpongeBob Christmas!,5.9,33
"[18, 27, 10749, 53]",en,3.94,2012-12-20,I Will Follow You Into the Dark,4.3,27
[10751],en,3.928,2012-07-28,Fred 3: Camp Fred,6.4,38
[18],en,3.906,2012-06-29,Last Ride,7.0,15
"[18, 36]",es,3.904,2012-03-04,The Sleeping Voice,7.0,54
"[18, 16]",en,3.85,2012-08-24,It's Such a Beautiful Day,8.2,59
[35],en,3.841,2013-03-08,Somebody Up There Likes Me,5.5,13
"[10752, 99]",en,3.8360000000000003,2012-10-19,Five Broken Cameras,7.6,45
"[28, 80, 9648]",fr,3.8169999999999997,2012-09-09,The Lookout,5.6,51
[18],en,3.815,2012-07-12,I Want Your Love,5.2,19
"[10749, 10770]",en,3.804,2012-11-04,Love at the Thanksgiving Day Parade,7.0,16
[18],en,3.779,2012-12-14,Any Day Now,6.9,45
[18],en,3.7510000000000003,2012-09-21,Unconditional,6.8,35
"[16, 35, 10751]",en,3.748,2012-10-02,Tom and Jerry: Robin Hood and His Merry Mouse,6.8,20
"[28, 27]",en,3.74,2012-09-30,Dead Mine,4.6,38
"[10749, 35, 10751]",en,3.7030000000000003,2012-05-06,Lake Effects,4.3,10
"[99, 18]",en,3.702,2012-10-17,Britain's Greatest Codebreaker,6.1,13
"[18, 10751]",en,3.677,2012-07-14,An American Girl: McKenna Shoots for the Stars,6.3,26
"[878, 28, 53]",en,3.6639999999999997,2012-04-21,Alien Tornado,3.1,18
"[53, 18, 80]",en,3.6630000000000003,2012-11-01,Tomorrow You're Gone,4.5,22
[99],en,3.661,2012-05-11,Steve Jobs: The Lost Interview,7.5,47
"[18, 53, 10770]",en,3.645,2012-01-14,Sexting in Suburbia,5.1,24
"[35, 18]",en,3.6430000000000002,2012-06-22,Grassroots,5.1,8
"[10751, 10749]",en,3.637,2012-01-14,A Taste of Romance,5.9,20
[10749],en,3.625,2012-11-25,Hitched for the Holidays,6.2,23
[],en,3.623,2012-06-07,Blue Ridge,5.7,6
"[80, 18]",hi,3.605,2012-03-02,Paan Singh Tomar,7.5,48
"[27, 53]",en,3.595,2012-03-16,Snow White: A Deadly Summer,4.1,14
[27],en,3.5780000000000003,2012-10-11,Dead Souls,4.1,31
[18],en,3.57,2012-01-01,Sexy Assassins,7.9,14
"[28, 878]",fr,3.557,2012-03-31,Seattle Superstorm,3.6,18
"[14, 10770, 35, 18]",en,3.545,2012-12-24,Naughty or Nice,6.1,37
"[18, 35]",fr,3.535,2012-09-09,Superstar,5.3,49
[35],en,3.5269999999999997,2012-01-01,Attack of the 50 Foot Cheerleader,4.9,14
[],en,3.514,2012-10-15,Nuclear Family,2.8,5
[27],en,3.508,2012-01-26,The Theatre Bizarre,5.3,48
"[10402, 35, 10749]",en,3.502,2012-05-11,You Instead,7.0,51
[99],en,3.492,2012-10-12,Casting By,7.5,19
"[18, 27, 53]",en,3.49,2012-11-09,Citadel,5.3,76
"[10749, 35, 18, 12]",en,3.472,2012-04-05,She Wants Me,3.9,16
[18],en,3.438,2012-04-19,The Unspeakable Act,5.3,7
"[53, 27]",en,3.4360000000000004,2012-01-01,The Sacred,5.0,5
"[35, 10751]",nl,3.431,2012-12-01,Mister Twister: Class of Fun,7.1,15
"[16, 10751, 14]",en,3.427,2012-02-16,Monster High: Escape from Skull Shores,6.4,20
[27],en,3.42,2012-10-05,Hold Your Breath,3.5,40
"[16, 10751, 35]",ja,3.4160000000000004,2000-07-25,Panda! Go Panda!,6.2,37
"[878, 28, 14]",en,3.412,2012-08-29,Survivor,4.8,55
"[35, 18]",ru,3.412,2012-06-06,Mommies,4.7,13
"[16, 10751]",en,3.412,2012-10-30,The Reef 2: High Tide,3.3,18
"[18, 28, 36, 53]",zh,3.4,2012-07-27,Sacrifice,6.4,18
"[80, 18]",en,3.3939999999999997,2012-03-05,Sket,4.8,13
[18],he,3.392,2012-07-07,Fill the Void,6.5,38
"[16, 35, 878]",en,3.391,2012-09-09,Robot Chicken: DC Comics Special,7.7,15
"[35, 10749]",ru,3.39,2012-06-06,8 First Dates,7.2,22
[99],en,3.385,2012-02-07,Gnarr,5.9,4
[35],en,3.38,2012-03-06,High Road,5.6,38
"[12, 14]",en,3.3760000000000003,2012-11-23,Dungeons & Dragons: The Book of Vile Darkness,4.3,29
"[28, 878]",en,3.375,2012-03-27,Collision Course,4.0,15
[18],en,3.373,2012-06-22,Stella Days,6.6,8
"[10751, 14]",en,3.3680000000000003,2012-12-09,Help for the Holidays,6.2,29
[878],en,3.367,2012-02-01,Earth's Final Hours,4.7,30
[18],en,3.361,2012-10-25,The Loneliest Planet,5.8,29
"[27, 53]",en,3.358,2012-12-31,The Thompsons,4.9,30
[27],en,3.3560000000000003,2012-02-15,Donovan's Echo,6.0,29
"[27, 53]",en,3.35,2012-05-04,The Incident,5.8,44
"[16, 10751, 14]",en,3.339,2012-11-06,The Swan Princess Christmas,5.9,25
"[28, 80]",es,3.338,2012-09-23,Bring Me the Head of the Machine Gun Woman,5.8,16
[35],hi,3.3289999999999997,2012-07-06,Bol Bachchan,5.9,35
"[28, 53]",th,3.325,2012-01-01,BKO: Bangkok Knockout,5.5,41
[27],en,3.3089999999999997,2012-10-01,An American Ghost Story,4.1,19
"[28, 35]",hi,3.2880000000000003,2012-12-21,Dabangg 2,5.1,47
"[28, 80, 53]",sv,3.282,2012-10-24,Johan Falk: Alla råns moder,6.4,13
"[18, 35, 10749]",en,3.2739999999999996,2012-07-06,Crazy Eyes,4.6,7
[18],ko,3.264,2012-04-20,The Day He Arrives,7.0,34
"[18, 35]",en,3.253,2012-04-13,Blue Like Jazz,5.9,35
"[27, 878]",en,3.252,2012-06-26,Parasitic,2.7,10
"[53, 9648]",fr,3.239,2012-06-15,The Woman in the Fifth,5.0,43
[18],sq,3.234,2012-02-24,The Forgiveness of Blood,6.7,26
"[35, 16]",ja,3.2319999999999998,2012-04-30,Crayon Shin-chan: Fierceness That Invites Storm! Me and the Space Princess,7.5,2
[28],en,3.228,2012-11-02,Muniyandi Vilangial Moonramandu,6.0,1
"[18, 80, 53]",en,3.22,2012-03-03,Blue-Eyed Butcher,6.0,23
"[18, 14]",en,3.2089999999999996,2012-07-16,Seeing Heaven,3.7,9
"[35, 27]",en,3.2030000000000003,2012-04-14,You Can't Kill Stephen King,4.6,22
"[10751, 10402]",en,3.1910000000000003,2012-11-19,Jesus Christ Superstar - Live Arena Tour,7.3,13
"[12, 10751]",en,3.187,2012-01-31,Treasure Buddies,5.2,39
[27],en,3.1860000000000004,2012-01-11,Inside,4.2,7
[10749],en,3.173,2012-04-15,Undercover Bridesmaid,5.5,46
"[27, 9648, 878, 53]",en,3.1719999999999997,2012-03-15,The Whisperer in Darkness,6.6,42
"[99, 10402]",en,3.133,2013-06-27,A Band Called Death,7.2,47
[35],en,3.128,2012-08-16,Bill Burr: You People Are All The Same,7.9,50
"[35, 27]",en,3.116,2012-07-08,Among Friends,4.3,30
"[27, 9648, 53]",en,3.1010000000000004,2012-10-19,Bigfoot: The Lost Coast Tapes,4.4,25
"[10770, 35, 18]",en,3.0860000000000003,2012-11-21,Matchmaker Santa,5.7,27
"[53, 10770]",en,3.068,2012-04-28,Playdate,4.8,12
"[35, 16]",en,3.062,2012-02-10,Daffy's Rhapsody,5.8,6
[80],en,3.054,2012-02-18,The Fall of the Essex Boys,4.4,19
"[27, 28, 35]",en,3.054,2012-01-31,Blubberella,3.4,25
"[18, 10749]",zh,3.035,2012-11-09,Dangerous Liaisons,6.2,22
"[18, 10749]",en,3.0239999999999996,2012-01-21,28 Hotel Rooms,6.0,32
"[10770, 18]",en,3.023,2012-10-22,The Girl,6.0,50
"[18, 53]",en,3.013,2012-10-21,Come Morning,6.3,5
"[35, 18, 10402, 10770]",en,3.005,2012-11-17,Christmas Crush,4.8,20
"[35, 10751]",sv,3.0039999999999996,2012-12-30,The Anderssons in Greece: All Inclusive,5.2,18
[18],fr,2.997,2012-06-15,Americano,5.3,24
"[18, 10751]",en,2.995,2012-05-01,Flicka: Country Pride,5.8,35
[99],en,2.9939999999999998,2011-10-21,Ecstasy of Order: The Tetris Masters,6.9,25
"[18, 35]",da,2.986,2012-02-02,Excuse Me,4.8,4
"[18, 36, 10752]",pl,2.985,2012-06-01,Rose,7.5,20
[99],en,2.9789999999999996,2012-05-18,Mansome,4.9,43
"[9648, 27, 53]",en,2.9619999999999997,2012-01-27,The Wicker Tree,4.4,25
"[35, 18]",en,2.9589999999999996,2012-11-10,Picture Day,6.7,11
"[80, 27, 53]",tl,2.948,2012-05-11,The Road,5.1,24
[53],en,2.948,2012-03-01,Deviation,5.1,4
[35],en,2.948,2012-08-24,General Education,4.4,9
"[27, 878]",en,2.9360000000000004,2012-04-27,Tape 407,4.1,49
"[16, 35]",en,2.9330000000000003,2012-11-02,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,6.8,20
"[80, 53]",en,2.931,2012-10-12,Border Run,5.6,20
[27],en,2.928,2012-09-09,Scary or Die,4.1,27
[27],en,2.926,2012-10-16,Night of the Living Dead: Re-Animation,4.0,25
"[18, 80, 9648, 10749]",en,2.9189999999999996,2012-03-10,Sun Don't Shine,5.2,9
[18],en,2.918,2012-12-07,In Our Nature,5.5,11
"[53, 27]",en,2.9139999999999997,2012-10-13,Hayride,4.6,10
"[53, 28, 35]",es,2.888,2012-02-24,Neon Flesh,5.8,24
"[35, 18]",es,2.8739999999999997,2012-06-06,Young & Wild,5.7,41
[18],en,2.873,2012-07-12,Trishna,5.9,29
[18],en,2.8569999999999998,2012-11-30,King Kelly,4.7,10
[35],en,2.855,2012-06-26,Bikini Spring Break,3.6,24
"[10770, 80, 9648, 53]",en,2.852,2012-06-30,Fugitive at 17,6.1,24
