genre_ids,original_language,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross
"[28, 12, 18, 10751]",en,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,Sony,176600000.0,182500000.0,2010,359100000.0
"[35, 10751]",en,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,Fox,64000000.0,11700000.0,2010,75700000.0
"[9648, 27, 28]",en,12.245999999999999,2010-02-26,The Crazies,6.2,1036,Over.,39100000.0,15700000.0,2010,54800000.0
"[28, 53, 80, 9648]",sv,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,MBox,5200000.0,38300000.0,2010,43500000.0
"[35, 10749]",en,12.152999999999999,2010-12-21,Little Fockers,5.6,1883,Uni.,148400000.0,162200000.0,2010,310600000.0
"[18, 10749, 10752]",en,12.048,2010-02-04,Dear John,6.8,2676,SGem,80000000.0,35000000.0,2010,115000000.0
"[12, 14, 16, 878]",ja,12.005,2010-08-13,Tales from Earthsea,6.6,502,BV,48500.0,68600000.0,2010,68648500.0
"[10749, 35]",en,11.821,2010-01-08,Leap Year,6.7,990,Uni.,25900000.0,6700000.0,2010,32600000.0
"[18, 35, 10749]",es,2.563,2011-06-24,Leap Year,5.6,30,Uni.,25900000.0,6700000.0,2010,32600000.0
"[18, 28, 53, 80, 9648]",sv,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,MBox,7600000.0,59500000.0,2010,67100000.0
"[10752, 28, 12, 18, 53]",en,11.519,2010-03-11,Green Zone,6.4,1176,Uni.,35100000.0,59800000.0,2010,94900000.0
"[18, 10749]",en,11.453,2010-03-12,Remember Me,7.1,2079,Sum.,19100000.0,37000000.0,2010,56100000.0
"[12, 18, 53]",en,11.435,2010-11-05,127 Hours,7.0,4469,FoxS,18300000.0,42400000.0,2010,60700000.0
"[35, 27]",en,11.302,2010-08-20,Piranha 3D,5.3,1029,W/Dim.,25000000.0,58200000.0,2010,83200000.0
"[80, 18, 9648, 53]",en,11.252,2010-01-29,Edge of Darkness,6.3,794,WB,43300000.0,37800000.0,2010,81100000.0
